epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4194.08,1.46725,1.00593,1.26954,0.78968,0.65018,0.74192,0.45742,1.47416,0.93796,1.34153,0.0095941,0.0095941,0.0095941
43,4293.01,1.46656,1.00995,1.27079,0.7979,0.64478,0.74236,0.45616,1.47685,0.93586,1.34164,0.0095842,0.0095842,0.0095842
44,4395.51,1.46527,1.00758,1.26893,0.79679,0.64991,0.74476,0.45822,1.47125,0.93016,1.33822,0.0095743,0.0095743,0.0095743
45,4500.14,1.45721,1.00651,1.26816,0.7935,0.6528,0.7452,0.45911,1.47134,0.92982,1.34033,0.0095644,0.0095644,0.0095644
46,4602.24,1.45504,0.9966,1.2608,0.79749,0.65399,0.74686,0.46009,1.47109,0.92768,1.34049,0.0095545,0.0095545,0.0095545
47,4704.9,1.46118,1.0015,1.26507,0.80191,0.65021,0.74711,0.46103,1.47018,0.92084,1.33793,0.0095446,0.0095446,0.0095446
48,4805.13,1.46155,0.9991,1.26735,0.79925,0.64623,0.74574,0.4606,1.47078,0.92294,1.3396,0.0095347,0.0095347,0.0095347
49,4903.42,1.45173,0.99472,1.26116,0.79386,0.65312,0.74577,0.46211,1.4665,0.9219,1.33954,0.0095248,0.0095248,0.0095248
50,5006.41,1.45381,0.99029,1.25874,0.80106,0.65446,0.74849,0.46274,1.46372,0.91708,1.33903,0.0095149,0.0095149,0.0095149
51,5108.31,1.4509,0.99412,1.26493,0.79736,0.65324,0.74847,0.464,1.46061,0.91956,1.33637,0.009505,0.009505,0.009505
52,5210.92,1.4501,0.9818,1.25744,0.79598,0.65406,0.74879,0.46263,1.46513,0.91689,1.33897,0.0094951,0.0094951,0.0094951
53,5310.25,1.45263,0.98842,1.25719,0.79766,0.65525,0.75035,0.46456,1.46328,0.91512,1.33166,0.0094852,0.0094852,0.0094852
54,5412.77,1.44542,0.98108,1.25657,0.79847,0.65616,0.75118,0.4651,1.4619,0.91189,1.33528,0.0094753,0.0094753,0.0094753
55,5514.43,1.4512,0.99035,1.25499,0.79758,0.65523,0.74994,0.46553,1.46004,0.91123,1.34017,0.0094654,0.0094654,0.0094654
